Id,city,age,sex,social_class,primary_business,secondary_business,annual_income,monthly_expenses,old_dependents,young_dependents,home_ownership,type_of_house,occupants_count,house_area,sanitary_availability,water_availabity,loan_purpose,loan_tenure,loan_installments,loan_amount
38016,,31,F,SC,Education Loan,none,116000.0,5000.0,0,3,1.0,R,5,100.0,0.0,1.0,Education Loan,12,12,20000.0
2282,Joynagar,23,F,General,School,none,12000.0,6500.0,0,1,1.0,R,3,900.0,1.0,0.5,Education Loan,12,12,6000.0
36630,,54,F,OBC,Utensils selling,none,48000.0,3000.0,0,1,1.0,T1,3,950.0,1.0,1.0,Retail Sale,12,12,15000.0
6088,Chandipur,30,F,ST,Poultry farm,Others,6000.0,3500.0,0,2,1.0,T1,5,240.0,1.0,0.5,Meat Businesses,12,12,5000.0
11793,Biromal,22,F,,General store,,0.0,4000.0,0,0,1.0,T1,0,0.0,0.0,,Retail Store,12,12,5000.0
10502,Gandinagar,47,F,,Cow Rearing,,0.0,4700.0,0,0,1.0,T1,0,0.0,0.0,,Animal husbandry,12,50,7500.0
9280,Kodumur,45,F,,Chicken & mutton shop,,0.0,2000.0,0,0,1.0,T1,0,0.0,0.0,,Meat Businesses,12,52,5000.0
35102,Bahoriband,49,F,SC,Vegetable cultivation,none,48000.0,2200.0,0,2,1.0,T2,2,300.0,0.0,0.5,Farming/ Agriculture,12,12,10000.0
20383,Shantipur,38,F,Minority,Handloom Work,none,18000.0,3500.0,0,2,1.0,T1,4,700.0,1.0,1.0,Handicrafts,12,50,10000.0
39167,Bahoriband,28,F,obc,Cow Rearing,none,48000.0,2500.0,0,1,1.0,T2,2,200.0,0.0,0.5,Animal husbandry,12,12,10000.0
25506,Shantipur,30,F,Schudle Cast,Handloom Work,none,54000.0,3000.0,0,2,1.0,T1,4,600.0,1.0,1.0,Handicrafts,12,50,10000.0
31972,Teh - Bahoriband,42,F,OBC,Goat rearing,none,48000.0,2000.0,0,1,1.0,T2,2,300.0,0.0,0.5,Meat Businesses,12,12,10000.0
13153,Kozhinjampara,42,F,SC,Plastic wares,none,63000.0,4300.0,0,2,1.0,R,2,3.0,1.0,1.0,Retail Sale,12,50,7500.0
33783,Depalpur indore,57,F,Mochi,Goat rearing,none,65000.0,4000.0,1,2,1.0,T1,4,230.0,1.0,0.5,Meat Businesses,12,12,8000.0
18070,Sahada,28,F,S.C.,Leaf plate making,Others,14400.0,4200.0,0,2,1.0,T2,4,280.0,0.0,1.0,Agro Based Businesses,12,12,8000.0
